Crop_Type,Region,Soil_Type,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Organic_Carbon,Moisture_Content,Rainfall_mm,Temperature_C,Plant_Age_Weeks,Fertilizer_Type,Recommended_Quantity_kg_per_acre,Application_Timing,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link,N,P,K,EC,OC,S,Zn,Fe,Cu,Mn,B,Output,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Phosphorous,Fertilizer Name,PH,Carbon,Soil,Remark
,,,,,,,,,,,,,,,,,35.52771842,,49.36413945,,67.74736169,19.72997851,Peas,Urea,,,,,,,,,,,,,,,,0.747344823,,,41.89290237,,6.913225665,1.78258927,Loamy Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,35.52771842,,-20.50910839,,41.15454971,14.42943993,Peas,Urea,,,,,,,,,,,,,,,,0.772049901,,,148.6346184,,6.843910315,1.826520158,Loamy Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,49.03246295,,51.90313799,,45.40980162,17.30896938,Peas,Urea,,,,,,,,,,,,,,,,0.442309206,,,34.43176013,,5.892589786,1.300846539,Acidic Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,52.73819251,,52.56910836,,38.39551897,18.79026727,Peas,DAP,,,,,,,,,,,,,,,,0.457291727,,,42.25293593,,6.313310604,0.894318288,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,49.55557527,,48.29609415,,81.91761167,15.96531932,Peas,Urea,,,,,,,,,,,,,,,,0.543238709,,,32.2099728,,6.247319705,0.598606173,Acidic Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,49.46791581,,49.14445349,,46.4785208,16.47616737,Peas,Urea,,,,,,,,,,,,,,,,0.815088284,,,29.92496467,,6.374492377,1.420375036,Peaty Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,51.93318346,,52.14496457,,54.93612528,19.06935489,Peas,DAP,,,,,,,,,,,,,,,,0.532939507,,,43.17506048,,6.476507713,2.563715616,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,49.00608098,,40.70095369,,46.51387936,19.15149766,Peas,Urea,,,,,,,,,,,,,,,,0.646297419,,,39.65029588,,5.840534036,2.24797937,Acidic Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,51.9811598,,116.7101112,,34.80834298,19.79225789,Peas,Water Retaining Fertilizer,,,,,,,,,,,,,,,,0.627731375,,,70.66604801,,6.897952749,2.132512774,Loamy Soil,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
,,,,,,,,,,,,,,,,,52.80830991,,112.3445447,,83.91066654,17.28142399,Peas,Water Retaining Fertilizer,,,,,,,,,,,,,,,,0.647567665,,,71.50104502,,7.025760302,1.672242203,Loamy Soil,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
,,,,,,,,,,,,,,,,,51.3763159,,126.308197,,67.24378164,20.89964692,Peas,Balanced NPK Fertilizer,,,,,,,,,,,,,,,,0.704207958,,,131.9593396,,7.194753608,2.058939147,Loamy Soil,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
,,,,,,,,,,,,,,,,,50.93312784,,71.32802565,,42.91671767,17.3163187,Peas,DAP,,,,,,,,,,,,,,,,0.657302827,,,49.35879391,,6.719534602,1.094549845,Loamy Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,55.26598487,,45.50064626,,35.58227157,17.24775124,Peas,DAP,,,,,,,,,,,,,,,,0.770790015,,,39.92600232,,6.419203157,2.350405098,Peaty Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,53.82324936,,51.44251809,,47.97753519,15.649935,Peas,Water Retaining Fertilizer,,,,,,,,,,,,,,,,0.574515137,,,55.03982458,,6.273657535,1.431042452,Acidic Soil,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
,,,,,,,,,,,,,,,,,52.86504823,,48.35564209,,52.24658035,18.91120292,Peas,DAP,,,,,,,,,,,,,,,,0.54925062,,,27.87027757,,6.046753546,2.439279782,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,53.04134682,,50.5363117,,56.94585773,16.00591252,Peas,DAP,,,,,,,,,,,,,,,,0.409135662,,,43.20653137,,6.69173168,0.508978915,Neutral Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,51.90112151,,43.59887475,,61.46850024,19.06696869,Peas,DAP,,,,,,,,,,,,,,,,0.680731329,,,33.44969607,,6.20188201,1.384800901,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,86.96971052,,45.02399793,,66.04007001,19.73995763,Peas,DAP,,,,,,,,,,,,,,,,0.755609865,,,32.11521785,,6.390474222,1.924834644,Peaty Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,50.81253468,,92.43016735,,50.07756494,17.15366539,Peas,Water Retaining Fertilizer,,,,,,,,,,,,,,,,0.540814978,,,64.965801,,6.852902917,2.01306374,Neutral Soil,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
,,,,,,,,,,,,,,,,,51.68859355,,61.38290635,,77.53454763,19.11104574,Peas,Organic Fertilizer,,,,,,,,,,,,,,,,0.832209437,,,51.17021436,,6.575452577,2.287487247,Peaty Soil,"Enhances fertility naturally, ideal for peaty soils. Prefer this to improve soil fertility while maintaining organic farming practices."
,,,,,,,,,,,,,,,,,49.82440027,,145.0536576,,-85.70959335,18.44007512,Peas,Urea,,,,,,,,,,,,,,,,0.58586246,,,134.283245,,7.286374726,0.73667858,Loamy Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,50.5447064,,61.44804648,,45.37100601,18.55374638,Peas,DAP,,,,,,,,,,,,,,,,0.570647897,,,39.59329524,,6.388566087,2.114839263,Loamy Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,46.89702173,,57.28324427,,48.22271341,19.09092819,Peas,Urea,,,,,,,,,,,,,,,,0.471309018,,,-37.64973873,,6.325963262,1.682215237,Acidic Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,52.0539784,,58.28921815,,45.09290834,17.14147463,Peas,DAP,,,,,,,,,,,,,,,,0.446396067,,,24.81162873,,6.485912904,1.612592447,Neutral Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,50.06385953,,46.08816205,,76.15953486,50.17984508,Peas,Muriate of Potash,,,,,,,,,,,,,,,,0.730599955,,,177.3144812,,6.464274109,0.542206989,Acidic Soil,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
,,,,,,,,,,,,,,,,,50.83956865,,80.44179064,,52.75613795,17.02531424,Peas,Water Retaining Fertilizer,,,,,,,,,,,,,,,,0.656147976,,,66.18170591,,7.163522703,1.595176952,Loamy Soil,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
,,,,,,,,,,,,,,,,,47.44498996,,-20.50910839,,42.17784853,17.98227104,Peas,Urea,,,,,,,,,,,,,,,,0.4627201,,,32.57478753,,5.911025,3.241983684,Acidic Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,52.6439655,,48.77555339,,22.48229565,18.60111447,Peas,DAP,,,,,,,,,,,,,,,,0.468371484,,,24.44141753,,6.4033407,1.120935109,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,48.31592815,,54.90906738,,46.10550193,16.58647949,Peas,Urea,,,,,,,,,,,,,,,,0.750031944,,,37.94849348,,6.31523538,1.474411001,Peaty Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,51.1833809,,103.2804009,,30.19135722,4.011486444,Peas,Water Retaining Fertilizer,,,,,,,,,,,,,,,,0.618080332,,,57.06895649,,7.131446071,1.859239389,Neutral Soil,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
,,,,,,,,,,,,,,,,,51.18070357,,159.5640307,,33.88846414,18.02308627,Peas,DAP,,,,,,,,,,,,,,,,0.820230149,,,21.27191276,,6.062965808,1.346899981,Peaty Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,51.12268612,,136.0108464,,52.22813835,18.26351975,Peas,Water Retaining Fertilizer,,,,,,,,,,,,,,,,0.685107801,,,131.3418829,,7.049363265,2.01664757,Loamy Soil,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
,,,,,,,,,,,,,,,,,50.1145083,,49.26814621,,53.24111711,18.8312811,Peas,DAP,,,,,,,,,,,,,,,,0.65510915,,,29.19729868,,6.215103964,1.820141296,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,50.78344789,,58.46948525,,62.31653327,18.03276768,Peas,DAP,,,,,,,,,,,,,,,,0.718639208,,,37.20100959,,6.602396125,1.0596422,Loamy Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,52.99931745,,43.82205171,,40.34141417,4.011486444,Peas,DAP,,,,,,,,,,,,,,,,0.492338306,,,39.11697846,,5.901026529,1.467307571,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,50.45017734,,45.69362538,,66.2402046,15.442008,Peas,DAP,,,,,,,,,,,,,,,,0.779679948,,,41.07281574,,5.853072404,2.177006615,Peaty Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,51.02965093,,45.03878126,,61.96596555,17.24208656,Peas,DAP,,,,,,,,,,,,,,,,0.610520219,,,32.56860873,,6.186546249,1.075415293,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,51.41074157,,47.61989654,,27.93760638,18.38395123,Peas,DAP,,,,,,,,,,,,,,,,0.732089583,,,30.74083689,,6.411728618,2.392348185,Peaty Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,52.92570997,,70.59884328,,39.85153015,17.2354655,Peas,DAP,,,,,,,,,,,,,,,,0.727498813,,,39.76009281,,6.916663859,-0.280559958,Loamy Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,51.47898652,,43.11425769,,23.72869975,17.43074809,Peas,DAP,,,,,,,,,,,,,,,,0.73008646,,,27.69480733,,6.471149952,1.192789186,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,53.16068455,,56.6466865,,306.0816006,19.85046337,Peas,DAP,,,,,,,,,,,,,,,,0.543062055,,,38.78173127,,6.266790134,1.622380025,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,51.32912798,,159.5640307,,47.73468079,20.19142311,Peas,DAP,,,,,,,,,,,,,,,,0.408234043,,,-37.64973873,,6.219849719,1.797687531,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,50.50017293,,44.34592881,,72.46868238,17.20967182,Peas,DAP,,,,,,,,,,,,,,,,0.524518241,,,-37.64973873,,5.832978846,0.62597995,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,48.27887715,,72.44974781,,53.5674913,20.08130391,Peas,Urea,,,,,,,,,,,,,,,,0.700041549,,,41.83579697,,6.871749789,1.052896802,Loamy Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,51.65758738,,49.28025167,,44.3196826,17.52884507,Peas,DAP,,,,,,,,,,,,,,,,0.53997405,,,37.39259032,,6.559392568,1.928549879,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,50.85386856,,46.24493732,,43.53769284,16.60559609,Peas,DAP,,,,,,,,,,,,,,,,0.560428164,,,-37.64973873,,6.189390359,1.157014364,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,51.0278705,,41.02000566,,75.09830526,17.03391029,Peas,DAP,,,,,,,,,,,,,,,,0.815210139,,,31.23498681,,5.934528423,2.249900511,Peaty Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,50.18898068,,65.34463995,,49.02319384,17.62777047,Peas,DAP,,,,,,,,,,,,,,,,0.598732609,,,43.86317037,,6.495766924,2.088004029,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,50.19147385,,54.63147626,,71.52070513,16.49644548,Peas,DAP,,,,,,,,,,,,,,,,0.754201979,,,39.89716636,,6.819980603,-0.280559958,Loamy Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,48.63849752,,68.48586413,,46.54446056,17.94956014,Peas,Urea,,,,,,,,,,,,,,,,0.227436131,,,58.4214392,,6.468002671,1.235288388,Neutral Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,50.28313965,,42.80652814,,44.19592528,14.694763,Peas,DAP,,,,,,,,,,,,,,,,0.452172501,,,25.19990413,,6.229589494,-0.280559958,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,52.01018375,,48.0649389,,45.37965608,19.49582469,Peas,DAP,,,,,,,,,,,,,,,,0.491432033,,,31.26932982,,6.296433426,1.279147023,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,50.45734303,,54.43432191,,53.72529764,15.29318204,Peas,DAP,,,,,,,,,,,,,,,,0.72795891,,,39.80343107,,5.84763878,1.930590704,Peaty Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,52.40385644,,159.5640307,,31.64483361,18.3892244,Peas,Water Retaining Fertilizer,,,,,,,,,,,,,,,,0.606802828,,,63.93132967,,6.875701529,1.458929923,Loamy Soil,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
,,,,,,,,,,,,,,,,,53.06316306,,138.4961353,,35.37845146,19.24382766,Peas,Water Retaining Fertilizer,,,,,,,,,,,,,,,,0.671766822,,,133.8488042,,7.106094103,2.523081893,Loamy Soil,Improves water retention in dry soils. Prefer this for soils with low moisture to prevent water stress in plants.
,,,,,,,,,,,,,,,,,51.29448507,,57.32043729,,54.17263476,17.18124504,Peas,DAP,,,,,,,,,,,,,,,,0.701794262,,,39.01119848,,6.612655682,1.139462463,Loamy Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,54.54713223,,59.4805181,,36.93812035,16.55604413,Peas,DAP,,,,,,,,,,,,,,,,0.465263505,,,30.71404022,,8.82843282,1.101343513,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,49.40893431,,54.96875593,,45.02795272,18.77903386,Peas,Urea,,,,,,,,,,,,,,,,0.356544029,,,177.3144812,,3.908612908,0.698702693,Acidic Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,47.28728679,,33.74810981,,61.32082363,4.011486444,Peas,Urea,,,,,,,,,,,,,,,,0.559356453,,,25.60139331,,5.754664682,1.287120686,Acidic Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,50.70123933,,143.3673319,,60.96630316,18.24946187,Peas,Balanced NPK Fertilizer,,,,,,,,,,,,,,,,0.734280766,,,139.8785583,,7.009907393,1.755659398,Loamy Soil,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
,,,,,,,,,,,,,,,,,50.71151776,,45.29224444,,51.80151555,17.15020791,Peas,DAP,,,,,,,,,,,,,,,,0.653507893,,,34.88740093,,6.11945385,0.901568022,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,48.83923514,,62.46572844,,47.25102944,14.31756397,Peas,Urea,,,,,,,,,,,,,,,,0.390557055,,,52.8520592,,6.645197536,1.130654833,Neutral Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,47.29027465,,46.03111678,,31.48407324,15.33716665,Peas,Urea,,,,,,,,,,,,,,,,0.702540307,,,30.16581354,,3.908612908,1.685194507,Acidic Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,48.41614044,,54.83364663,,49.28675036,16.95048206,Peas,Urea,,,,,,,,,,,,,,,,0.676634652,,,24.31149621,,6.554473826,2.457751252,Loamy Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,49.62348182,,51.35088164,,53.18461807,50.17984508,Peas,Urea,,,,,,,,,,,,,,,,0.744167969,,,36.2072145,,6.336742019,1.138046959,Peaty Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,49.22072583,,50.76844779,,69.54142219,17.46036308,Peas,Urea,,,,,,,,,,,,,,,,0.427007243,,,42.25221923,,6.593310004,2.560456109,Neutral Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,48.20156272,,72.94586083,,58.58767561,50.17984508,Peas,Urea,,,,,,,,,,,,,,,,0.442467723,,,49.19093016,,6.706650213,0.681516083,Neutral Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,48.05848666,,58.00220823,,35.63638287,18.47898753,Peas,Urea,,,,,,,,,,,,,,,,0.802423658,,,52.25547243,,6.639699185,0.672345358,Loamy Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,54.60838282,,147.4446261,,49.3602148,18.08054894,Peas,Balanced NPK Fertilizer,,,,,,,,,,,,,,,,0.750158549,,,136.4880996,,6.962685768,1.461403947,Loamy Soil,"Provides a balanced mix of nitrogen, phosphorus, and potassium for loamy soils. Prefer this for general-purpose fertilization in well-structured soils."
,,,,,,,,,,,,,,,,,47.91203227,,60.43632102,,40.89517121,16.99590058,Peas,Urea,,,,,,,,,,,,,,,,0.813035805,,,33.9929181,,6.855065712,2.758734712,Loamy Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,51.63393089,,41.46612776,,69.06744832,17.58258733,Peas,DAP,,,,,,,,,,,,,,,,0.374164963,,,29.15968708,,6.701445601,1.464750622,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,51.77652216,,46.57549996,,52.97352081,16.786427,Peas,DAP,,,,,,,,,,,,,,,,0.432095037,,,41.36251243,,6.086980418,1.158571344,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,51.26189804,,47.61640076,,48.01789909,19.44057444,Peas,Muriate of Potash,,,,,,,,,,,,,,,,0.694843164,,,177.3144812,,6.720911205,2.143963522,Loamy Soil,"High potassium content, improves fruit and flower quality. Prefer this for potassium-deficient soils to enhance crop productivity."
,,,,,,,,,,,,,,,,,50.27055561,,60.56839836,,63.91268519,19.38176603,Peas,DAP,,,,,,,,,,,,,,,,0.706181573,,,34.31208253,,6.042955737,0.669744596,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,50.48794999,,68.39899479,,62.54211536,14.90727367,Peas,Lime,,,,,,,,,,,,,,,,0.453698091,,,54.1284008,,3.908612908,1.160214714,Neutral Soil,"Neutralizes acidic soil and improves pH balance. Prefer this to correct low soil pH, improving nutrient availability."
,,,,,,,,,,,,,,,,,50.08801315,,74.83128206,,65.32838078,16.33917051,Peas,DAP,,,,,,,,,,,,,,,,0.437148799,,,47.06887885,,6.906781291,0.73814221,Neutral Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,49.46492514,,137.0539015,,46.24239043,16.97725917,Peas,Urea,,,,,,,,,,,,,,,,0.488347776,,,129.1625248,,6.638553012,1.83512718,Neutral Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,50.42566312,,61.6640181,,46.25356309,16.52756197,Peas,DAP,,,,,,,,,,,,,,,,0.502540562,,,33.98860406,,6.17757876,1.859681293,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,48.407662,,36.32155385,,64.69935807,20.08134679,Peas,Urea,,,,,,,,,,,,,,,,0.448824986,,,31.52461741,,6.170074827,1.572242823,Acidic Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,50.77777064,,37.98798236,,19.47587986,19.13823808,Peas,DAP,,,,,,,,,,,,,,,,0.775333727,,,34.79148374,,6.300432431,2.152779923,Peaty Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,49.37491815,,53.26945237,,42.61935675,13.83645428,Peas,Urea,,,,,,,,,,,,,,,,0.972361206,,,30.72203729,,6.541678838,0.763877363,Acidic Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,86.96971052,,61.18524081,,306.0816006,14.85934837,Peas,DAP,,,,,,,,,,,,,,,,0.609161298,,,36.04341552,,6.751687905,1.244989967,Loamy Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,53.81456378,,48.03104702,,48.4219077,14.7086562,Peas,DAP,,,,,,,,,,,,,,,,0.518981421,,,31.05271711,,6.009924064,1.254575607,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,86.96971052,,41.17733659,,-85.70959335,16.50502909,Peas,DAP,,,,,,,,,,,,,,,,0.560880113,,,34.97887141,,5.879316011,2.432263122,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,51.07692958,,48.53870651,,38.48459564,16.17207447,Peas,DAP,,,,,,,,,,,,,,,,0.501931315,,,36.69263235,,6.197134147,2.286538489,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,46.20515134,,48.48342288,,51.72288898,19.16738226,Peas,Urea,,,,,,,,,,,,,,,,0.429727364,,,40.74736602,,5.818306477,2.148894453,Acidic Soil,"Provides high nitrogen, ideal for rapid leafy growth. Prefer this for nitrogen-deficient soils as it supports vegetative growth."
,,,,,,,,,,,,,,,,,50.56506351,,42.48500209,,79.19412957,20.09462725,Peas,DAP,,,,,,,,,,,,,,,,0.721578211,,,32.10410264,,6.070885353,-0.280559958,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,50.42907199,,53.60066171,,52.2797053,17.73718083,Peas,DAP,,,,,,,,,,,,,,,,0.347073448,,,31.74341681,,6.068501006,1.740721785,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,53.35958669,,46.24703186,,43.46241392,17.96528559,Peas,DAP,,,,,,,,,,,,,,,,0.787992155,,,25.08714123,,6.112132983,1.011396268,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,91.0376408,,56.75908844,,332.3837096,32.16170767,Rubber,DAP,,,,,,,,,,,,,,,,0.629788289,,,43.61793591,,5.296282768,1.740894164,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,74.4017201,,58.49540264,,249.2899971,22.52841743,Rubber,DAP,,,,,,,,,,,,,,,,0.792463494,,,30.29786725,,5.242213908,2.091472486,Peaty Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
,,,,,,,,,,,,,,,,,85.6608306,,83.36896112,,369.1411043,22.87223041,Rubber,DAP,,,,,,,,,,,,,,,,0.595319234,,,34.51795836,,5.753193772,0.623219125,Acidic Soil,"Rich in phosphorus, essential for root development. Prefer this for phosphorus-deficient soils to improve plant establishment."
