Crop_Type,Region,Soil_Type,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Organic_Carbon,Moisture_Content,Rainfall_mm,Temperature_C,Plant_Age_Weeks,Fertilizer_Type,Recommended_Quantity_kg_per_acre,Application_Timing
Sugarcane,Kerala,Silty,6.2,145.6,49.9,85.4,1.21,39.1,1031.2,31.4,6,Potash,86.52,Pre-harvest
Tomato,Karnataka,Silty,6.4,116.3,37.8,148.2,0.99,42.7,615.5,34.8,15,Mixed,109.96,After sowing
Potato,Andhra Pradesh,Clay,7.2,117.1,38.4,99.1,0.91,18.4,491.2,25.2,16,Potash,109.32,Pre-harvest
Maize,Karnataka,Silty,7.4,128.6,23.1,139.7,1.4,43.8,936.1,22.6,7,DAP,115.12,Mid growth
Groundnut,Telangana,Clay,6.7,131.9,20.8,81.0,0.69,22.5,743.6,27.3,5,DAP,112.48,After sowing
Sugarcane,Tamil Nadu,Loamy,5.8,133.9,37.9,100.6,0.52,17.3,713.4,22.3,12,Mixed,95.88,Pre-harvest
Millet,Telangana,Silty,6.4,130.3,36.4,96.2,1.02,33.4,1088.7,31.3,4,Potash,98.76,Mid growth
Rice,Tamil Nadu,Sandy,6.9,109.0,31.0,141.6,0.56,44.6,931.5,30.2,9,Mixed,115.8,After sowing
Sugarcane,Andhra Pradesh,Silty,5.6,128.4,34.5,87.4,0.92,41.7,840.0,26.2,10,Potash,100.28,Pre-harvest
Tomato,Kerala,Peaty,5.7,137.1,41.1,123.0,1.27,28.0,874.6,23.5,11,Mixed,93.32,After sowing
Soybean,Tamil Nadu,Peaty,7.9,127.1,29.3,111.5,1.71,19.8,634.3,30.2,9,DAP,116.32,Before sowing
Maize,Madhya Pradesh,Peaty,6.3,143.4,23.9,133.4,0.6,15.4,1118.6,28.7,8,DAP,103.28,After sowing
Cotton,Gujarat,Peaty,6.4,98.6,38.5,115.6,1.99,44.5,908.0,26.6,12,Urea,139.12,Pre-harvest
Wheat,Kerala,Silty,6.7,134.6,23.0,103.0,0.61,17.2,556.7,27.3,12,DAP,110.32,Mid growth
Potato,Maharashtra,Clay,7.5,118.8,30.1,85.8,1.33,23.1,891.9,34.7,6,Potash,107.96,Pre-harvest
Potato,Maharashtra,Silty,5.8,97.0,34.2,147.8,1.66,41.9,667.0,34.9,15,Urea,140.4,After sowing
Sugarcane,Gujarat,Peaty,5.8,84.2,45.7,144.9,0.64,18.4,426.5,21.6,11,Urea,150.64,After sowing
Maize,Karnataka,Silty,6.0,157.6,40.0,134.5,1.66,31.1,1038.0,28.9,14,Compost,76.92,Pre-harvest
Sugarcane,Maharashtra,Clay,6.3,124.9,36.0,137.6,1.97,27.3,1010.7,21.5,15,Compost,103.08,Mid growth
Millet,Andhra Pradesh,Sandy,7.4,109.7,21.2,105.4,1.42,18.6,1139.2,21.2,15,DAP,130.24,After sowing
Rice,Telangana,Sandy,7.8,136.6,29.9,107.4,1.61,33.0,937.3,25.8,9,DAP,108.72,Pre-harvest
Wheat,Gujarat,Loamy,6.7,159.2,26.4,109.2,0.94,38.0,1011.2,24.4,6,DAP,90.64,After sowing
Cotton,Tamil Nadu,Clay,5.7,80.9,32.8,108.7,1.98,29.1,605.1,33.4,16,Urea,153.28,After sowing
Tomato,Tamil Nadu,Clay,6.7,127.9,22.9,106.8,1.92,32.7,675.6,29.4,11,DAP,115.68,Before sowing
Potato,Gujarat,Silty,7.8,101.9,35.2,147.1,0.76,36.6,891.6,30.2,15,Mixed,121.48,Mid growth
Potato,Kerala,Clay,6.4,105.1,40.5,95.1,1.13,20.6,406.6,34.6,14,Potash,118.92,Mid growth
Wheat,Telangana,Silty,6.6,157.5,24.2,121.1,0.8,38.7,1027.0,21.7,16,DAP,92.0,Pre-harvest
Sugarcane,Andhra Pradesh,Clay,7.8,95.6,38.4,149.0,1.82,43.7,674.1,21.6,14,Urea,141.52,After sowing
Potato,Andhra Pradesh,Loamy,6.0,120.0,43.8,90.5,1.49,24.7,673.0,29.9,12,Potash,107.0,Pre-harvest
Wheat,Tamil Nadu,Loamy,6.7,145.0,24.7,135.3,0.6,20.8,924.9,32.8,10,DAP,102.0,Before sowing
Cotton,Andhra Pradesh,Sandy,6.1,106.2,36.1,94.8,1.72,38.2,516.2,27.0,5,Potash,118.04,Before sowing
Maize,Madhya Pradesh,Silty,7.4,107.0,39.0,83.5,1.41,19.6,1064.5,25.3,12,Potash,117.4,Before sowing
Tomato,Telangana,Loamy,6.2,147.3,21.5,107.8,1.06,23.5,1129.4,31.3,6,DAP,100.16,Pre-harvest
Cotton,Kerala,Loamy,5.7,137.2,35.8,143.1,0.97,32.2,800.6,27.3,6,Mixed,93.24,Before sowing
Potato,Kerala,Sandy,6.6,96.5,42.7,111.6,1.94,22.8,946.2,34.1,6,Urea,140.8,Before sowing
Soybean,Karnataka,Sandy,7.2,149.7,44.8,105.2,1.4,19.7,828.4,23.5,6,Mixed,83.24,After sowing
Sugarcane,Tamil Nadu,Clay,7.4,122.2,32.3,98.8,2.0,17.2,434.8,23.3,11,Potash,105.24,After sowing
Cotton,Madhya Pradesh,Silty,7.9,158.3,39.6,141.6,0.82,44.2,514.2,21.5,11,Mixed,76.36,After sowing
Soybean,Kerala,Sandy,5.8,125.9,43.4,105.7,1.97,28.0,520.4,27.0,10,Compost,102.28,Mid growth
Millet,Telangana,Loamy,7.2,146.6,33.8,121.6,0.9,34.4,1188.8,20.7,11,Mixed,85.72,After sowing
Soybean,Telangana,Sandy,7.7,125.0,27.6,146.8,1.23,25.0,545.2,23.7,14,DAP,118.0,Mid growth
Maize,Kerala,Sandy,7.6,129.2,47.4,96.2,0.68,15.2,806.3,35.0,13,Potash,99.64,Pre-harvest
Sugarcane,Tamil Nadu,Peaty,7.2,104.7,46.3,134.7,0.52,39.5,640.4,22.2,16,Mixed,119.24,Before sowing
Rice,Madhya Pradesh,Sandy,6.1,117.5,32.7,100.2,0.76,37.9,1192.1,31.7,4,Mixed,109.0,Before sowing
Groundnut,Tamil Nadu,Clay,6.2,99.6,26.5,89.6,1.33,33.2,964.4,30.2,4,Urea,138.32,Pre-harvest
Tomato,Madhya Pradesh,Silty,6.2,106.4,40.4,104.5,0.82,26.2,617.7,21.3,13,Mixed,117.88,Before sowing
Millet,Gujarat,Sandy,7.6,148.2,26.6,84.5,1.61,21.3,714.7,21.0,8,DAP,99.44,Before sowing
Cotton,Andhra Pradesh,Clay,6.1,143.4,44.1,94.5,1.0,19.0,459.3,34.9,5,Potash,88.28,Before sowing
Tomato,Telangana,Peaty,7.1,123.4,43.0,138.8,1.71,15.5,549.4,29.8,4,Compost,104.28,Before sowing
Millet,Gujarat,Sandy,6.4,158.6,40.0,147.0,0.8,40.9,657.1,34.8,12,Mixed,76.12,Pre-harvest
Maize,Andhra Pradesh,Clay,5.9,121.3,43.8,110.3,1.2,44.6,740.2,29.1,7,Mixed,105.96,Before sowing
Millet,Karnataka,Loamy,5.6,147.4,39.4,108.3,0.52,32.8,410.1,20.0,7,Mixed,85.08,Mid growth
Tomato,Maharashtra,Peaty,7.0,95.1,25.8,125.7,0.58,24.4,519.5,28.7,10,Urea,141.92,Pre-harvest
Potato,Maharashtra,Loamy,7.2,137.7,27.7,86.2,0.62,27.8,1156.7,23.3,15,DAP,107.84,Pre-harvest
Wheat,Telangana,Sandy,6.1,88.1,38.2,127.6,1.46,40.8,789.1,22.0,9,Urea,147.52,Mid growth
Soybean,Andhra Pradesh,Sandy,6.2,133.0,38.4,117.2,1.52,34.1,1105.1,28.8,4,Compost,96.6,Before sowing
Maize,Gujarat,Sandy,7.4,99.9,40.3,143.2,1.08,38.4,979.8,20.9,7,Urea,138.08,Pre-harvest
Rice,Kerala,Silty,7.0,90.4,49.0,136.8,0.66,18.7,875.6,25.2,8,Urea,145.68,Before sowing
Sugarcane,Kerala,Loamy,5.6,123.3,31.6,87.1,1.7,42.5,1005.3,32.3,15,Potash,104.36,Mid growth
Millet,Gujarat,Loamy,6.0,101.1,26.3,133.6,1.92,36.5,1105.2,29.6,12,DAP,137.12,After sowing
Potato,Tamil Nadu,Sandy,6.5,114.1,22.3,82.2,1.54,28.2,841.8,28.4,11,DAP,126.72,Before sowing
Sugarcane,Kerala,Loamy,6.2,118.1,34.1,107.2,1.73,28.5,882.9,33.4,12,Compost,108.52,Pre-harvest
Rice,Gujarat,Silty,7.7,151.2,28.1,82.4,0.89,23.4,1127.5,29.7,4,DAP,97.04,Pre-harvest
Soybean,Maharashtra,Clay,5.7,90.8,24.7,124.1,1.6,40.8,1152.5,23.0,13,Urea,145.36,Before sowing
Groundnut,Gujarat,Loamy,6.3,99.2,30.8,144.0,1.36,37.1,792.1,20.4,9,Urea,138.64,Before sowing
Cotton,Kerala,Silty,5.7,123.0,41.6,95.1,1.58,39.3,729.5,31.2,13,Potash,104.6,Before sowing
Soybean,Andhra Pradesh,Peaty,6.5,134.3,42.9,149.4,1.02,27.3,532.5,23.1,11,Mixed,95.56,Pre-harvest
Tomato,Tamil Nadu,Sandy,7.2,153.4,31.8,92.6,0.93,28.7,632.5,23.5,10,Potash,80.28,Before sowing
Soybean,Telangana,Silty,7.3,80.6,36.2,135.6,0.9,33.1,935.1,29.8,15,Urea,153.52,Pre-harvest
Potato,Andhra Pradesh,Sandy,6.6,107.7,45.1,133.1,0.98,18.1,457.4,21.4,8,Mixed,116.84,Mid growth
Groundnut,Andhra Pradesh,Loamy,7.0,84.1,30.1,132.7,0.94,37.9,996.4,23.7,6,Urea,150.72,After sowing
Sugarcane,Karnataka,Loamy,7.3,139.8,31.9,94.7,1.28,42.6,911.7,22.6,14,Potash,91.16,Mid growth
Cotton,Kerala,Silty,7.2,114.2,37.7,131.4,1.27,39.4,977.7,29.2,7,Mixed,111.64,Pre-harvest
Rice,Andhra Pradesh,Peaty,5.9,146.9,48.1,89.6,1.23,22.8,1003.6,30.8,16,Potash,85.48,Before sowing
Maize,Madhya Pradesh,Sandy,5.9,150.2,25.4,135.8,1.19,24.8,526.6,22.5,6,DAP,97.84,After sowing
Rice,Andhra Pradesh,Sandy,7.2,124.0,23.7,87.9,0.61,37.3,969.5,20.9,9,DAP,118.8,Before sowing
Cotton,Andhra Pradesh,Clay,6.9,86.8,47.1,143.5,1.55,42.8,1049.2,32.4,10,Urea,148.56,After sowing
Rice,Tamil Nadu,Loamy,6.9,104.5,26.5,102.9,1.44,20.2,606.9,27.0,11,DAP,134.4,Pre-harvest
Tomato,Tamil Nadu,Peaty,6.1,127.1,47.7,132.4,1.5,32.5,790.4,22.8,16,Mixed,101.32,Pre-harvest
Wheat,Madhya Pradesh,Sandy,7.7,99.9,22.7,132.5,0.76,26.2,422.6,22.1,6,Urea,138.08,Pre-harvest
Wheat,Karnataka,Peaty,5.9,84.4,39.7,138.6,1.06,41.2,570.7,24.9,8,Urea,150.48,After sowing
Groundnut,Karnataka,Silty,5.9,129.6,32.6,122.9,1.64,31.4,902.1,34.0,15,Compost,99.32,Before sowing
Groundnut,Maharashtra,Clay,6.2,108.7,41.5,122.8,0.77,26.3,774.3,26.3,13,Mixed,116.04,Before sowing
Groundnut,Kerala,Clay,5.9,154.0,42.9,113.7,1.52,41.9,508.9,23.8,16,Compost,79.8,Before sowing
Cotton,Maharashtra,Peaty,6.9,143.9,21.1,148.9,1.18,25.8,634.2,22.6,9,DAP,102.88,Before sowing
Sugarcane,Karnataka,Loamy,7.5,156.4,32.4,146.7,1.74,29.4,939.2,26.5,5,Compost,77.88,Pre-harvest
Tomato,Maharashtra,Loamy,6.9,84.6,40.9,83.7,1.73,39.7,589.7,24.9,10,Urea,150.32,Pre-harvest
Sugarcane,Gujarat,Peaty,6.7,127.7,28.6,121.5,0.95,16.7,402.0,21.5,4,DAP,115.84,After sowing
Tomato,Madhya Pradesh,Sandy,7.5,156.9,32.8,115.9,0.72,31.5,515.7,29.2,4,Mixed,77.48,Pre-harvest
Rice,Tamil Nadu,Silty,7.8,95.7,42.9,81.6,1.06,18.3,682.0,22.6,15,Urea,141.44,Mid growth
Maize,Andhra Pradesh,Sandy,6.4,113.4,29.0,126.0,1.88,27.0,553.9,24.1,8,DAP,127.28,Mid growth
Maize,Kerala,Silty,7.6,125.7,33.7,90.5,1.17,23.4,1154.5,33.3,5,Potash,102.44,Pre-harvest
Wheat,Madhya Pradesh,Clay,5.7,121.3,26.8,108.8,1.82,30.8,667.4,23.1,16,DAP,120.96,Mid growth
Groundnut,Maharashtra,Loamy,7.5,130.0,34.0,95.2,1.0,43.8,816.1,26.0,15,Potash,99.0,Pre-harvest
Potato,Gujarat,Sandy,6.8,142.3,30.2,92.5,1.38,35.0,970.2,33.2,6,Potash,89.16,Before sowing
Wheat,Gujarat,Loamy,6.4,86.0,48.8,110.5,1.43,35.0,837.2,23.1,6,Urea,149.2,Mid growth
Potato,Maharashtra,Loamy,7.4,144.3,36.6,114.2,0.67,17.5,671.7,24.7,4,Mixed,87.56,After sowing
Potato,Madhya Pradesh,Loamy,7.9,142.7,39.8,116.2,0.75,44.4,700.0,21.6,9,Mixed,88.84,Before sowing
Groundnut,Maharashtra,Silty,6.7,149.9,46.6,80.8,1.83,23.1,431.2,32.7,15,Potash,83.08,Pre-harvest
Soybean,Karnataka,Loamy,7.7,127.7,37.2,136.9,1.68,41.7,842.2,34.5,7,Compost,100.84,Mid growth
Millet,Tamil Nadu,Peaty,8.0,89.3,45.5,115.0,1.08,33.4,444.8,27.6,12,Urea,146.56,Mid growth
Tomato,Kerala,Sandy,7.7,97.1,32.8,145.8,1.14,25.8,752.4,27.8,10,Urea,140.32,Mid growth
Tomato,Gujarat,Loamy,7.1,144.1,33.6,137.2,1.3,25.2,926.4,30.8,6,Mixed,87.72,Pre-harvest
Maize,Madhya Pradesh,Clay,6.9,84.5,25.1,100.0,0.92,35.2,414.7,31.3,8,Urea,150.4,After sowing
Millet,Andhra Pradesh,Clay,6.2,104.8,35.8,95.1,1.83,17.6,755.5,32.7,12,Potash,119.16,Mid growth
Maize,Gujarat,Silty,7.0,103.4,32.6,129.5,1.96,41.8,673.9,35.0,9,Compost,120.28,Pre-harvest
Soybean,Gujarat,Sandy,5.5,82.2,44.7,94.0,0.59,22.1,740.9,31.0,14,Urea,152.24,Pre-harvest
Sugarcane,Andhra Pradesh,Loamy,7.1,99.0,35.1,144.8,1.72,24.7,1185.8,30.6,13,Urea,138.8,After sowing
Soybean,Kerala,Silty,5.7,82.8,25.1,130.9,0.78,30.3,474.6,33.8,5,Urea,151.76,After sowing
Potato,Maharashtra,Clay,6.4,152.7,48.3,80.4,1.2,15.7,1127.0,27.8,10,Potash,80.84,Mid growth
Sugarcane,Tamil Nadu,Silty,5.7,88.8,31.5,145.8,1.54,41.0,693.2,20.6,6,Urea,146.96,Mid growth
Tomato,Kerala,Peaty,7.9,81.4,48.4,105.8,0.52,35.7,1184.4,34.5,6,Urea,152.88,Pre-harvest
Maize,Karnataka,Silty,5.9,94.5,37.0,124.6,1.61,20.4,1167.2,29.6,14,Urea,142.4,After sowing
Cotton,Tamil Nadu,Clay,7.6,123.2,32.4,148.4,1.37,41.0,1162.6,30.1,16,Mixed,104.44,Before sowing
Groundnut,Tamil Nadu,Peaty,6.9,80.3,21.2,94.1,0.78,22.6,643.9,25.4,15,Urea,153.76,After sowing
Cotton,Maharashtra,Sandy,6.6,87.9,21.3,127.2,1.31,28.3,907.6,32.4,6,Urea,147.68,Mid growth
Cotton,Telangana,Silty,6.6,131.3,48.6,138.8,1.14,34.3,541.7,28.4,12,Mixed,97.96,Before sowing
Rice,Maharashtra,Peaty,8.0,121.5,47.8,108.5,2.0,32.4,433.8,28.8,13,Compost,105.8,Pre-harvest
Cotton,Maharashtra,Sandy,6.2,82.6,44.6,99.3,1.69,23.6,555.5,34.6,15,Urea,151.92,Mid growth
Millet,Tamil Nadu,Clay,6.4,128.1,38.3,119.2,1.87,35.2,723.0,32.9,14,Compost,100.52,After sowing
Potato,Maharashtra,Silty,6.0,123.5,48.5,123.8,1.73,34.6,1071.5,34.2,14,Compost,104.2,Pre-harvest
Tomato,Madhya Pradesh,Silty,6.2,93.6,34.5,129.1,0.84,15.1,674.3,34.5,12,Urea,143.12,Pre-harvest
Cotton,Telangana,Sandy,7.2,112.1,25.8,104.9,0.75,18.2,1125.4,35.0,9,DAP,128.32,Pre-harvest
Wheat,Karnataka,Clay,5.9,84.4,29.9,112.3,0.81,24.0,560.7,31.6,10,Urea,150.48,After sowing
Maize,Telangana,Clay,7.3,130.8,31.6,143.6,1.95,20.2,578.4,27.9,6,Compost,98.36,Before sowing
Potato,Andhra Pradesh,Clay,5.7,114.9,37.5,116.5,1.0,31.3,1167.0,23.1,10,Mixed,111.08,Before sowing
Tomato,Gujarat,Sandy,7.1,83.5,22.0,118.6,0.66,15.7,537.2,28.5,8,Urea,151.2,After sowing
Rice,Madhya Pradesh,Loamy,7.3,96.2,40.0,92.8,1.42,27.4,923.0,34.9,4,Urea,141.04,Mid growth
Soybean,Madhya Pradesh,Loamy,7.8,80.3,46.6,84.7,1.93,23.5,705.6,21.4,16,Urea,153.76,Before sowing
Cotton,Andhra Pradesh,Clay,5.8,138.1,48.3,122.8,1.57,37.9,610.3,20.7,16,Compost,92.52,Before sowing
Rice,Gujarat,Clay,5.5,108.1,27.2,84.4,0.77,18.7,1131.9,22.1,6,DAP,131.52,Before sowing
Millet,Telangana,Silty,6.8,127.4,36.3,86.9,0.98,16.5,716.5,22.8,15,Potash,101.08,Pre-harvest
Potato,Telangana,Silty,6.9,135.4,36.0,110.4,1.08,40.3,575.5,31.0,5,Mixed,94.68,Before sowing
Wheat,Karnataka,Silty,7.4,113.5,28.9,112.9,0.64,16.4,489.3,22.8,7,DAP,127.2,Mid growth
Potato,Madhya Pradesh,Peaty,6.8,147.9,27.1,145.5,1.93,43.8,1070.1,25.5,4,DAP,99.68,Mid growth
Sugarcane,Telangana,Clay,5.7,125.5,36.8,139.5,1.99,30.2,676.2,22.8,6,Compost,102.6,Before sowing
Rice,Madhya Pradesh,Clay,5.5,120.7,36.7,137.7,1.26,42.5,902.5,32.6,10,Mixed,106.44,Pre-harvest
Potato,Andhra Pradesh,Clay,5.9,148.4,40.3,91.9,0.78,42.8,425.8,26.9,10,Potash,84.28,Pre-harvest
Tomato,Telangana,Clay,6.3,133.2,45.2,105.2,1.14,44.5,1027.1,33.5,4,Mixed,96.44,Before sowing
Potato,Maharashtra,Loamy,6.6,98.7,32.4,130.1,0.66,23.1,437.3,26.5,12,Urea,139.04,After sowing
Tomato,Tamil Nadu,Loamy,7.6,82.0,40.3,145.3,0.86,35.8,1180.1,34.4,5,Urea,152.4,Mid growth
Tomato,Gujarat,Sandy,6.1,88.0,24.4,129.1,1.59,35.2,668.9,22.5,16,Urea,147.6,Before sowing
Sugarcane,Gujarat,Sandy,7.0,118.7,41.9,110.9,1.01,23.8,569.2,24.0,14,Mixed,108.04,Mid growth
Tomato,Karnataka,Silty,5.7,107.7,21.1,93.0,1.62,24.8,934.6,30.8,10,DAP,131.84,Mid growth
Cotton,Andhra Pradesh,Loamy,7.0,156.7,20.6,131.7,1.94,40.9,534.3,24.9,8,DAP,92.64,Pre-harvest
Sugarcane,Kerala,Peaty,5.9,128.1,41.4,102.2,1.31,35.7,737.1,32.8,4,Mixed,100.52,Pre-harvest
Soybean,Gujarat,Peaty,7.4,85.2,38.6,96.5,1.34,43.7,1103.2,26.1,6,Urea,149.84,After sowing
Soybean,Kerala,Clay,6.2,98.8,36.0,88.0,1.32,15.0,659.1,23.3,10,Urea,138.96,After sowing
Wheat,Maharashtra,Loamy,7.9,138.2,30.5,86.5,1.28,21.4,829.1,32.5,4,Potash,92.44,Before sowing
Cotton,Telangana,Silty,7.0,130.7,36.2,144.9,1.9,30.4,644.6,26.9,6,Compost,98.44,After sowing
Groundnut,Andhra Pradesh,Silty,6.0,130.9,35.0,87.2,0.8,29.4,1110.1,28.5,9,Potash,98.28,Pre-harvest
Soybean,Andhra Pradesh,Peaty,7.2,107.1,37.1,111.3,1.49,16.5,794.6,24.4,7,Mixed,117.32,Before sowing
Cotton,Telangana,Silty,6.3,156.9,25.5,101.8,1.26,40.9,733.3,31.2,13,DAP,92.48,Pre-harvest
Rice,Tamil Nadu,Clay,7.6,104.8,31.8,105.0,1.75,16.3,646.7,30.2,16,Compost,119.16,Before sowing
Sugarcane,Gujarat,Sandy,6.9,114.9,36.2,93.8,1.15,30.1,1121.0,23.9,5,Potash,111.08,Before sowing
Tomato,Telangana,Silty,7.7,131.5,20.6,130.7,0.55,44.9,1098.1,24.5,12,DAP,112.8,Before sowing
Rice,Maharashtra,Sandy,6.1,110.5,30.7,106.1,0.98,33.6,531.4,32.7,11,Mixed,114.6,Mid growth
Potato,Andhra Pradesh,Silty,7.5,118.1,45.6,97.3,0.53,33.6,766.3,28.5,6,Potash,108.52,Mid growth
Millet,Andhra Pradesh,Peaty,7.7,157.6,39.0,133.5,0.63,19.8,986.6,26.5,11,Mixed,76.92,After sowing
Cotton,Madhya Pradesh,Clay,6.6,104.7,38.2,93.0,1.44,20.2,451.1,25.0,13,Potash,119.24,After sowing
Millet,Maharashtra,Peaty,6.1,151.1,21.6,92.4,1.32,29.4,436.7,20.1,5,DAP,97.12,Mid growth
Groundnut,Maharashtra,Clay,8.0,132.7,31.0,112.9,0.9,25.3,919.2,33.2,8,Mixed,96.84,After sowing
Groundnut,Madhya Pradesh,Peaty,6.0,147.2,23.6,95.0,0.56,19.2,1133.8,26.9,7,DAP,100.24,Mid growth
Millet,Karnataka,Peaty,5.7,156.8,46.4,132.8,1.9,21.6,1069.1,30.3,5,Compost,77.56,After sowing
Wheat,Tamil Nadu,Silty,7.7,143.8,30.4,134.2,0.89,24.9,486.3,34.0,14,Mixed,87.96,Pre-harvest
Rice,Andhra Pradesh,Loamy,6.2,121.6,31.7,147.2,1.0,38.4,1084.3,26.5,8,Mixed,105.72,After sowing
Groundnut,Madhya Pradesh,Peaty,6.4,139.8,47.4,132.8,0.84,41.6,710.1,28.6,16,Mixed,91.16,Before sowing
Rice,Maharashtra,Sandy,7.6,95.1,43.5,121.7,1.84,20.2,736.5,32.5,4,Urea,141.92,After sowing
Millet,Tamil Nadu,Clay,5.5,89.0,49.7,99.6,1.96,20.5,688.9,31.3,7,Urea,146.8,Before sowing
Soybean,Telangana,Clay,7.1,126.5,35.9,139.0,0.85,28.3,524.4,28.9,16,Mixed,101.8,Pre-harvest
Cotton,Maharashtra,Clay,6.1,106.7,34.1,81.9,0.64,35.6,743.2,33.0,4,Potash,117.64,Before sowing
Groundnut,Karnataka,Silty,7.2,80.6,38.5,86.6,1.67,44.7,825.0,30.2,14,Urea,153.52,Mid growth
Groundnut,Gujarat,Silty,6.1,115.0,45.7,91.7,0.9,28.4,969.8,25.6,5,Potash,111.0,Mid growth
Cotton,Telangana,Clay,7.8,87.6,31.1,129.6,0.84,34.7,531.4,20.8,9,Urea,147.92,Pre-harvest
Cotton,Andhra Pradesh,Silty,5.8,154.4,36.6,135.7,1.0,32.8,796.0,34.2,12,Mixed,79.48,Pre-harvest
Maize,Kerala,Silty,7.4,138.4,21.4,118.5,1.2,42.8,605.9,24.0,13,DAP,107.28,After sowing
Cotton,Maharashtra,Peaty,6.5,99.5,23.9,140.0,1.34,40.8,1064.9,24.2,15,Urea,138.4,After sowing
Millet,Tamil Nadu,Peaty,6.9,86.7,47.5,108.3,1.09,24.1,768.5,23.8,11,Urea,148.64,After sowing
Potato,Maharashtra,Clay,6.4,144.0,45.0,101.3,1.2,41.2,442.1,33.3,16,Mixed,87.8,Before sowing
Rice,Maharashtra,Sandy,6.0,134.3,37.5,118.7,1.79,18.0,677.6,28.1,12,Compost,95.56,Before sowing
Soybean,Kerala,Sandy,7.5,97.3,44.1,108.0,0.78,37.8,472.7,27.7,5,Urea,140.16,Mid growth
Soybean,Gujarat,Clay,5.7,108.5,38.0,118.9,1.11,27.9,581.4,26.8,6,Mixed,116.2,Pre-harvest
Millet,Karnataka,Loamy,7.9,148.0,24.4,82.1,1.9,30.8,830.3,31.7,15,DAP,99.6,Before sowing
Sugarcane,Gujarat,Clay,6.3,118.6,49.1,127.1,0.73,19.0,563.4,31.5,14,Mixed,108.12,Mid growth
Wheat,Andhra Pradesh,Loamy,6.2,81.7,48.3,91.9,0.51,22.1,588.0,26.3,4,Urea,152.64,Mid growth
Potato,Kerala,Loamy,7.8,150.3,33.7,108.8,1.33,22.3,441.7,34.1,12,Mixed,82.76,Pre-harvest
Soybean,Maharashtra,Clay,6.0,95.9,34.2,114.4,0.53,19.4,702.5,30.3,13,Urea,141.28,Before sowing
Cotton,Madhya Pradesh,Sandy,6.1,113.8,36.7,142.2,0.99,19.0,791.4,31.2,5,Mixed,111.96,Mid growth
Soybean,Madhya Pradesh,Clay,5.8,114.0,20.5,82.3,1.22,23.9,1076.1,29.0,4,DAP,126.8,Mid growth
Cotton,Telangana,Peaty,6.6,112.6,34.9,82.8,1.84,44.9,545.2,21.8,14,Potash,112.92,Mid growth
Sugarcane,Maharashtra,Clay,5.9,132.9,39.8,139.4,1.63,28.5,890.3,30.3,7,Compost,96.68,Pre-harvest
Potato,Karnataka,Loamy,6.8,118.1,39.4,119.0,1.47,33.4,975.4,29.6,12,Mixed,108.52,Pre-harvest
Potato,Maharashtra,Silty,6.8,134.5,33.5,96.9,0.5,31.8,872.5,34.6,16,Potash,95.4,Before sowing
Rice,Maharashtra,Silty,6.4,111.5,26.1,84.9,1.66,22.5,887.1,30.3,7,DAP,128.8,Pre-harvest
Sugarcane,Tamil Nadu,Sandy,6.7,150.1,33.3,99.9,1.84,40.8,531.2,20.4,13,Potash,82.92,Pre-harvest
Tomato,Andhra Pradesh,Silty,5.7,102.9,49.2,119.1,1.06,41.7,762.5,24.7,14,Mixed,120.68,After sowing
Millet,Kerala,Silty,7.9,148.0,45.3,115.9,1.68,20.4,858.6,34.8,14,Compost,84.6,After sowing
Tomato,Kerala,Peaty,6.2,143.5,34.7,82.8,1.64,20.1,905.2,21.3,14,Potash,88.2,Before sowing
Rice,Tamil Nadu,Sandy,7.9,103.3,26.8,89.0,1.92,36.4,993.3,27.5,13,DAP,135.36,Before sowing
Potato,Madhya Pradesh,Peaty,6.7,88.8,36.8,97.3,1.97,38.9,730.4,22.3,6,Urea,146.96,After sowing
Sugarcane,Andhra Pradesh,Silty,7.5,89.8,25.7,94.8,1.34,38.6,651.5,21.3,5,Urea,146.16,Before sowing
Maize,Gujarat,Peaty,6.7,139.8,26.6,95.4,1.92,43.6,1192.4,32.1,10,DAP,106.16,Before sowing
Soybean,Andhra Pradesh,Silty,6.0,97.0,30.2,102.3,1.93,38.7,979.2,22.8,16,Urea,140.4,After sowing
Soybean,Andhra Pradesh,Silty,7.8,146.2,24.9,141.0,0.91,17.4,925.5,29.8,11,DAP,101.04,Pre-harvest
Rice,Karnataka,Peaty,5.7,105.5,49.8,127.5,1.6,21.4,463.0,24.2,12,Compost,118.6,Pre-harvest
Potato,Maharashtra,Peaty,6.1,98.8,25.8,120.2,0.99,39.6,547.2,27.0,8,Urea,138.96,After sowing
Millet,Telangana,Loamy,5.5,118.5,21.7,148.4,1.69,29.7,469.3,28.9,4,DAP,123.2,Mid growth
Groundnut,Telangana,Sandy,7.4,95.3,37.0,137.0,1.65,39.1,1103.5,34.1,5,Urea,141.76,Before sowing
Rice,Kerala,Peaty,6.5,125.5,43.7,128.8,1.99,15.4,684.1,24.2,13,Compost,102.6,Pre-harvest
Sugarcane,Tamil Nadu,Peaty,6.2,97.8,41.3,85.9,1.61,35.8,600.6,23.8,10,Urea,139.76,Mid growth
Cotton,Madhya Pradesh,Silty,7.1,141.0,46.3,139.6,1.95,32.4,1126.9,32.1,15,Compost,90.2,Before sowing
